Data    Horas Trabalhadas    Tipo Tarefa		        Descrição da Tarefa Realizada
20/08   1                    estudar                    Estudo da monografia escrita por Arndt Von Staa sobre o Arcabouço de Testes de programas redigidos em C
25/08   3                    estudar                    Familiriazação com os exemplos de uso do arcabouço
01/09   2                    estudar                    Familiriazação com os exemplos de uso do arcabouço
08/09   0,5                  codificar módulo           Finalizar adapatações ao módulo LISTA
08/09   0,5                  redigir script de teste    Script TesteLista.script adaptado
08/09   0,1                  realizar os testes         Teste do módulo LISTA realizado e nenhum erro econtrado.
08/09   0,2                  revisar especificações     Especificações do módulo LISTA alteradas
14/09   2                    codificar módulos	        Implementação do módulo matriz.c
15/09   2                    codificar módulos	        Implementação do testmat.c
15/09   3                    diagnosticar e corrigir os problemas encontrados     Correção de erros inesperados
15/09   0.5                  especificar os módulos     Melhorias nas especificações
15/09   1                    revisar projetos           Revisão de todo o trabalho
